objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,SpType,BV,TEff,FeH
1237657858219573344,176.306223117311,53.3032937954775,18.32409,17.47999,17.15377,16.86664,16.81016,2883,301,6,166,992008567366117376,GALAXY,0.07639728,881,52368,330,,0,0,0
1237657857682767901,176.567260590969,52.8975221107487,18.31231,16.48348,15.66922,15.28342,14.99541,2883,301,5,167,992023135895185408,GALAXY,0.04995721,881,52368,383,,0,0,0
1237657857682637001,176.022803427715,52.8579614280493,18.24011,17.11175,16.65023,16.43344,16.28321,2883,301,5,165,992011591023093760,GALAXY,0.01908571,881,52368,341,,0,0,0
1237657857682636964,175.928771358045,52.9015886639055,19.57101,18.26174,17.59392,17.27833,17.06967,2883,301,5,165,992012415656814592,GALAXY,0.1323284,881,52368,344,,0,0,0
1237657857682505867,175.579960054136,52.9455607125043,18.00504,16.96335,16.62605,16.41209,16.26291,2883,301,5,163,992016538825418752,GALAXY,0.04941221,881,52368,359,,0,0,0
1237657857145700576,175.942259850977,52.4358590401117,18.4531,16.78338,15.8967,15.424,15.05855,2883,301,4,164,992015164435884032,GALAXY,0.08016925,881,52368,354,,0,0,0
1237657857145634895,175.739127296637,52.4655768669316,17.33733,16.29913,15.84127,15.58299,15.35635,2883,301,4,163,992015439313790976,GALAXY,0.02954553,881,52368,355,,0,0,0
1237657630600986732,177.393360065465,53.1466668828302,19.38126,18.32909,17.94826,17.81399,17.77176,2830,301,6,390,992017913214953472,STAR,0.0002009823,881,52368,364,unknown,0,6000,-1
1237665330396135529,203.505102484329,31.2849263899916,19.15825,17.07352,16.02811,15.59965,15.26194,4623,301,4,276,2374580686074963968,GALAXY,0.1193433,2109,53468,210,,0,0,0
1237665227312332967,203.428612899877,31.445717511366,19.10468,17.1555,16.27021,15.86958,15.54368,4599,301,4,206,2374580411197057024,GALAXY,0.06170393,2109,53468,209,,0,0,0
1237665227312201802,203.102813158855,31.5218467896803,18.65555,17.34076,16.76944,16.43008,16.23965,4599,301,4,204,2374592780702869504,GALAXY,0.08089146,2109,53468,254,,0,0,0
1237665227312136348,203.048599376089,31.5074206805372,18.96353,17.0046,16.09283,15.68972,15.34601,4599,301,4,203,2374589207290079232,GALAXY,0.06296963,2109,53468,241,,0,0,0
1237665227312136330,203.027665377791,31.5646132454252,18.3979,17.12286,16.6736,16.47373,16.33765,4599,301,4,203,2374590306801707008,GALAXY,0.06065983,2109,53468,245,,0,0,0
1237665227312136208,203.022038946236,31.4601267199119,16.61272,16.23814,15.99766,15.62898,15.55346,4599,301,4,203,2374591681191241728,QSO,0.08976129,2109,53468,250,,0,0,0
1237665227312070857,202.901695881245,31.5912010076626,19.46078,18.20015,17.59962,17.22745,17.05341,4599,301,4,202,2374591131435427840,GALAXY,0.08207484,2109,53468,248,,0,0,0
1237662199889461436,216.843252166333,11.2714684076872,17.86064,16.02192,15.24907,14.88129,14.62595,3894,301,5,87,1922070085590083584,GALAXY,0.02723021,1707,53885,578,,0,0,0
1237662199889395955,216.772035830462,11.2718316583773,19.58259,17.73475,16.80106,16.37715,16.03174,3894,301,5,86,1922067336811014144,GALAXY,0.06828954,1707,53885,568,,0,0,0
1237662199889395912,216.720263897721,11.3048007584912,19.07283,17.46931,16.72932,16.38603,16.14774,3894,301,5,86,1922069260956362752,GALAXY,0.02718088,1707,53885,575,,0,0,0
1237662199889330242,216.61888836054,11.1731738035803,17.72871,15.85336,15.17822,14.81933,14.66901,3894,301,5,85,1922068986078455808,GALAXY,0.03349338,1707,53885,574,,0,0,0
1237659133285892245,227.631986330459,47.1956516839698,19.11964,17.96727,17.531,17.24339,17.04553,3180,301,5,134,1182295278271621120,GALAXY,0.08732728,1050,52721,365,,0,0,0
1237659132748955782,227.175948205649,46.9069390955149,17.21587,16.12649,15.68281,15.49521,15.35244,3180,301,4,133,1182285657544878080,GALAXY,0.00642832,1050,52721,330,,0,0,0
1237659132748890270,227.133635551296,46.9726246062409,18.81787,17.61163,16.96518,16.57522,16.31182,3180,301,4,132,1182286757056505856,GALAXY,0.1237378,1050,52721,334,,0,0,0
1237659132748890197,227.105481964163,47.1560299876087,18.92127,17.89845,17.43051,17.22597,17.15979,3180,301,4,132,1182285382666971136,STAR,-0.0003418336,1050,52721,329,sdG2,0.621,5405,-1.7
1237659132748890187,226.984498568555,47.0518309945778,18.14047,16.88991,16.28227,15.91957,15.70778,3180,301,4,132,1182283183643715584,GALAXY,0.06400312,1050,52721,321,,0,0,0
1237659131138539752,226.888264910503,45.7266432680899,19.38677,17.54496,16.80177,16.4018,16.12253,3180,301,1,136,1182281259498366976,GALAXY,0.1076933,1050,52721,314,,0,0,0
1237659131138343088,226.402905147324,45.9219227532456,19.05007,17.81821,17.16668,16.79146,16.56958,3180,301,1,133,1182281809254180864,GALAXY,0.1074413,1050,52721,316,,0,0,0
1237659120400531578,227.379587461692,47.2335723322288,18.79282,16.8638,15.92567,15.48465,15.16978,3177,301,5,127,1182294178759993344,GALAXY,0.07893652,1050,52721,361,,0,0,0
1237659119863660836,226.94939843624,46.7682821311445,19.56401,18.10317,17.36063,16.92399,16.58272,3177,301,4,127,1182288131446040576,GALAXY,0.1454319,1050,52721,339,,0,0,0
1237659119863660804,227.12837163961,46.8684049837044,18.17586,16.93114,16.48583,16.23643,16.05023,3177,301,4,127,1182284558033250304,GALAXY,0.02640738,1050,52721,326,,0,0,0
